,date,name,tweet
41,2014-12-19,중소벤처기업부,벤처기업수 3만개 육박! 평균고용률 일반 중기보다 6.3배 이상! 몸집만 커진 것이 아니라 내실도 튼튼하게 성장하는 벤처기업의 성장 스토리 블로그에서 자세히 확인하세요!  http://t.co/UCdPKRnIvc  http://t.co/4QSmGoXIMr
42,2014-12-18,중소벤처기업부,아니!! 원래 있는 설비를 또 만들어야 한다구요?! 그저 한 공정만 추가 될 뿐인데요?!  #단호박규제 타파하러 나중기가 출동합니다! &gt;&gt;&gt;  http://t.co/l8kFXDSGWw  http://t.co/Hgp4xBebcQ
43,2014-12-18,중소벤처기업부,"잘~되는 프랜차이즈에는 이유가 있습니다!  2014 핫한 프랜차이즈, 그들이 이야기 합니다! #가맹점_가맹본부_동반성장!!  &gt;&gt;&gt;  http://t.co/VYKS1WoaQ5  http://t.co/qHN6SG3zDS"
44,2014-12-17,중소벤처기업부,외국계 '특허괴물'로 부터 받는 거액의 소송 공격! 그리고 창업 후 3년 내에 찾아오는 '죽음의 계곡'! 그곳을 벗어날 비장의 무기를 블로그에서 확인하세요;-) &gt;&gt;&gt;  http://t.co/50ywN1ZwK0  http://t.co/mxDoMiRC1b
45,2014-12-17,중소벤처기업부,@JalovelyS2 감사합니다 :-)
46,2014-12-17,중소벤처기업부,[이벤트] 유튜브에서 '가게 앞 세레나데' 영상을 보고 전통시장 상인들께 축복의 댓글 남겨주세요~! 추첨을 통해 그간 인기 있었던 경제 관련 도서(5명)와 초콜릿(15명)을 보내드립니다:)  http://t.co/inGMjFTXcP (~12/19까지)
47,2014-12-17,중소벤처기업부,@yunsupower11 맞팔했습니다 ;-)
48,2014-12-17,중소벤처기업부,"청년층의 창조적 도전, 든든한 지원으로 #밀어주고! 선배벤처의 성공 노하우로 #끌어드리겠습니다! #어벤저스_방불케하는 ‘SK 청년창조경제펀드’ 블로그에서 확인하세요 &gt;&gt;  http://t.co/OY0vWSIMJL  http://t.co/0vMfvq9sYR"
49,2014-12-16,중소벤처기업부,"[12월 16일] 점심먹고 땡! 하루 한 개 중기청 이벤트 #당첨자발표 @yunsupower11, @hyrycho1 님! DM으로 성함과 연락처 보내주세요;-) 달콤한 초콜렛 보내드리겠습니다~!!!"
50,2014-12-16,중소벤처기업부,"[날씨, ‘나들가게’에게 마케팅을 말하다!] 글로벌 기업에서만 적용 되는 줄 아셨죠?! 날씨가 말해주는 마케팅! 이제, ‘나들가게’에도 적용됩니다:)  #나들가게_POS시스템을_통해_날씨정보_뙇_판매전략이_뙇  http://t.co/YttmVwiBs1"
51,2014-12-16,중소벤처기업부,"[12월 16일] 점심먹고 땡! 하루 한 개 중기청 이벤트 #전문연구요원_채용설명회 12.17(수) 14:00~16:30,  http://t.co/igpLQk0m8I   이 소식을 RT해 널리 소문내 봅시다!  http://t.co/g5AQakM8iB"
52,2014-12-16,중소벤처기업부,@LoveOneSpoon 맞팔 완료했습니당 ;-)
53,2014-12-16,중소벤처기업부,"중소기업 옴부즈만실 신입사원, 나중기!  오늘도 여러 문제를 해결하기 위해 중소기업 현장에 출동했습니다!  그 첫 번째 이야기, 블로그에서  만나보세요;-) &gt;&gt;&gt; http://t.co/mZbfxbgWQg  http://t.co/DKfo62ZZcQ"
54,2014-12-15,중소벤처기업부,"[12월 15일] 점심먹고 땡! 하루 한 개 중기청 퀴즈! #오늘의정답! 정답은 바로 X! 열매기술 전문기업이 아닌 ""뿌리기업 전문기업""입니다 ;-) @LoveOneSpoon, @rjdo104님! DM으로 성함과 연락처 보내주세요! 초콜릿을 슝-*"
55,2014-12-15,중소벤처기업부,"체지방과 근육량을 측정해주는 “InBody”가 우리 중소기업의 제품이라는 것, 그리고 세계 70개국으로 수출되고 있다는 것! 알고 계셨나요?! 나다운 서포터즈가“인바디”에서 하루를 체험해보았습니다 ;-) &gt;&gt;&gt;  http://t.co/XdGSurtuhO"
56,2014-12-15,중소벤처기업부,"[12월 15일] 점심먹고 땡! 하루 한 개 중기청 퀴즈! O,X퀴즈 과연 정답은 무엇일까요?! 정답을 아시는 분은 답글을 남겨주세요~ 추첨을 통해 초콜렛 보내드립니다~!  http://t.co/IyPcomy2qD"
